USD,EURO,MLC,Fecha
660,760,460,2026-07-14 04:00
660,760,460,2026-07-14 03:00
660,755,460,2026-07-14 02:00
660,755,460,2026-07-14 01:00
660,755,460,2026-07-14 00:00
660,757,452,2026-07-13 23:00
660,755,451,2026-07-13 22:00
660,755,451,2026-07-13 21:00
660,757,490,2026-07-13 20:00
660,760,470,2026-07-13 19:00
660,760,470,2026-07-13 18:00
660,760,470,2026-07-13 17:00
660,757,450,2026-07-13 16:00
660,757,450,2026-07-13 15:00
660,757,450,2026-07-13 14:00
660,760,450,2026-07-13 13:00
660,760,450,2026-07-13 12:00
660,760,450,2026-07-13 11:00
660,760,450,2026-07-13 10:00
660,760,450,2026-07-13 09:00
660,760,450,2026-07-13 08:00
660,760,450,2026-07-13 07:00
660,760,450,2026-07-13 06:00
660,760,450,2026-07-13 05:00
660,760,450,2026-07-13 04:00
660,760,450,2026-07-13 03:00
660,760,450,2026-07-13 02:00
660,760,450,2026-07-13 01:00
660,760,450,2026-07-13 00:00
660,760,450,2026-07-12 23:00
662,760,445,2026-07-12 22:00
660,760,445,2026-07-12 21:00
660,760,445,2026-07-12 20:00
665,760,445,2026-07-12 19:00
665,760,445,2026-07-12 18:00
665,765,440,2026-07-12 17:00
665,760,435,2026-07-12 16:00
665,765,450,2026-07-12 15:00
665,760,430,2026-07-12 14:00
665,760,430,2026-07-12 13:00
665,760,430,2026-07-12 12:00
665,760,440,2026-07-12 11:00
665,760,445,2026-07-12 10:00
665,760,440,2026-07-12 09:00
665,760,440,2026-07-12 08:00
665,760,440,2026-07-12 07:00
665,760,440,2026-07-12 06:00
665,760,440,2026-07-12 05:00
665,760,440,2026-07-12 04:00
665,760,440,2026-07-12 03:00
665,760,440,2026-07-12 02:00
665,760,440,2026-07-12 01:00
665,760,440,2026-07-12 00:00
665,760,440,2026-07-11 23:00
665,760,440,2026-07-11 22:00
665,760,430,2026-07-11 21:00
665,760,460,2026-07-11 20:00
665,760,460,2026-07-11 19:00
665,760,460,2026-07-11 18:00
665,760,460,2026-07-11 17:00
665,770,460,2026-07-11 16:00
670,760,430,2026-07-11 15:00
670,760,425,2026-07-11 14:00
670,760,415,2026-07-11 13:00
670,760,410,2026-07-11 12:00
670,760,410,2026-07-11 11:00
670,762,410,2026-07-11 10:00
670,760,410,2026-07-11 09:00
670,760,410,2026-07-11 08:00
670,760,410,2026-07-11 07:00
670,760,410,2026-07-11 06:00
670,760,410,2026-07-11 05:00
670,760,410,2026-07-11 04:00
